date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-11-04,340.74,345.85,333.88,344.45,344.45,5893705.0,0.0,1.0
2021-11-03,335.26,344.47,328.31,344.38,344.38,4809761.0,0.0,1.0
2021-11-02,336.33,345.25,332.14,336.34,336.34,6046956.0,0.0,1.0
2021-11-01,324.7723,338.43,323.9,330.99,330.99,6235627.0,0.0,1.0
2021-10-29,319.3173,326.5,316.14,319.42,319.42,3766383.0,0.0,1.0
2021-10-28,319.81,327.72,311.0,319.13,319.13,5952310.0,0.0,1.0
2021-10-27,309.33,320.28,306.5,311.67,311.67,5253293.0,0.0,1.0
2021-10-26,328.15,328.48,315.5101,319.49,319.49,7635766.0,0.0,1.0
2021-10-25,306.76,327.0,305.11,325.54,325.54,8444881.0,0.0,1.0
2021-10-22,302.0,306.0,293.62,300.84,300.84,5437345.0,0.0,1.0
2021-10-21,311.96,317.18,298.0,300.01,300.01,8289150.0,0.0,1.0
2021-10-20,306.66,317.37,303.96,314.71,314.71,10315292.0,0.0,1.0
2021-10-19,300.0,307.85,294.1101,305.63,305.63,14785678.0,0.0,1.0
2021-10-18,275.74,296.98,271.5,293.34,293.34,11801121.0,0.0,1.0
2021-10-15,266.6,281.72,266.53,280.61,280.61,9517534.0,0.0,1.0
2021-10-14,250.9,262.95,249.1,260.0,260.0,6307081.0,0.0,1.0
2021-10-13,246.5,249.73,244.56,246.78,246.78,2886897.0,0.0,1.0
2021-10-12,254.26,256.3721,246.08,249.33,249.33,3971908.0,0.0,1.0
2021-10-11,249.57,263.19,248.485,256.5,256.5,4945286.0,0.0,1.0
2021-10-08,253.525,256.18,246.9,248.14,248.14,2873719.0,0.0,1.0
2021-10-07,248.0,253.0,245.651,251.59,251.59,3213151.0,0.0,1.0
2021-10-06,242.4,252.14,242.2,250.38,250.38,5747679.0,0.0,1.0
2021-10-05,231.35,240.09,230.785,240.09,240.09,2994406.0,0.0,1.0
2021-10-04,231.49,233.1,224.51,229.31,229.31,2591132.0,0.0,1.0
2021-10-01,232.8869,235.76,226.929,231.15,231.15,3457269.0,0.0,1.0
2021-09-30,227.0,229.99,225.28,227.48,227.48,2522537.0,0.0,1.0
2021-09-29,231.0,233.77,225.04,225.28,225.28,2547285.0,0.0,1.0
2021-09-28,229.68,232.5126,227.52,229.84,229.84,3231210.0,0.0,1.0
2021-09-27,231.88,233.399,227.35,232.24,232.24,3234810.0,0.0,1.0
2021-09-24,231.0,235.31,229.1701,231.82,231.82,3699987.0,0.0,1.0
2021-09-23,244.57,245.8,237.07,237.5,237.5,3151330.0,0.0,1.0
2021-09-22,239.91,243.2,237.76,241.85,241.85,1660175.0,0.0,1.0
2021-09-21,237.01,240.26,234.26,238.46,238.46,2174748.0,0.0,1.0
2021-09-20,234.45,237.36,231.15,236.53,236.53,4192592.0,0.0,1.0
2021-09-17,243.125,245.63,238.75,245.19,245.19,2947971.0,0.0,1.0
2021-09-16,247.38,247.46,239.61,243.21,243.21,2596793.0,0.0,1.0
2021-09-15,244.0,249.47,242.05,247.07,247.07,2148260.0,0.0,1.0
2021-09-14,247.25,248.7899,241.272,243.0,243.0,2748872.0,0.0,1.0
2021-09-13,246.51,251.88,239.6,242.84,242.84,4021434.0,0.0,1.0
2021-09-10,257.31,258.87,247.4,248.32,248.32,3191273.0,0.0,1.0
2021-09-09,260.3,263.81,255.7,256.42,256.42,3074527.0,0.0,1.0
2021-09-08,257.0,262.95,253.88,258.2,258.2,4507574.0,0.0,1.0
2021-09-07,277.0,278.87,262.6001,266.81,266.81,5173032.0,0.0,1.0
2021-09-03,272.0,280.61,270.03,278.44,278.44,4438250.0,0.0,1.0
2021-09-02,272.54,275.66,266.0,268.18,268.18,3736924.0,0.0,1.0
2021-09-01,260.3127,272.1,258.6301,265.9,265.9,4789631.0,0.0,1.0
2021-08-31,260.0172,263.4,257.18,259.0,259.0,2493804.0,0.0,1.0
2021-08-30,256.3482,263.3369,256.2501,262.66,262.66,2687570.0,0.0,1.0
2021-08-27,249.39,259.67,248.0863,259.12,259.12,3201369.0,0.0,1.0
